"Plot Title: TC5_Nest"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20128175, SEN S/N: 20128175)","Intensity, Lux (LGR S/N: 20128175, SEN S/N: 20128175)","Coupler Attached (LGR S/N: 20128175)","Host Connected (LGR S/N: 20128175)","Stopped (LGR S/N: 20128175)","End Of File (LGR S/N: 20128175)"
105,05/12/19 03:52:00 PM,24.255,0.0,,,,
106,05/12/19 03:52:30 PM,24.255,0.0,,,,
107,05/12/19 03:53:00 PM,24.255,0.0,,,,
108,05/12/19 03:53:30 PM,24.255,0.0,,,,
109,05/12/19 03:54:00 PM,24.255,0.0,,,,
110,05/12/19 03:54:30 PM,24.255,0.0,,,,
111,05/12/19 03:55:00 PM,24.255,0.0,,,,
112,05/12/19 03:55:30 PM,24.255,0.0,,,,
113,05/12/19 03:56:00 PM,24.255,0.0,,,,
114,05/12/19 03:56:30 PM,24.255,0.0,,,,
115,05/12/19 03:57:00 PM,24.255,0.0,,,,
116,05/12/19 03:57:30 PM,24.255,0.0,,,,
117,05/12/19 03:58:00 PM,24.255,0.0,,,,
118,05/12/19 03:58:30 PM,24.158,0.0,,,,
119,05/12/19 03:59:00 PM,24.255,0.0,,,,
120,05/12/19 03:59:30 PM,24.158,0.0,,,,
121,05/12/19 04:00:00 PM,24.158,0.0,,,,
122,05/12/19 04:00:30 PM,24.158,0.0,,,,
123,05/12/19 04:01:00 PM,24.255,0.0,,,,
124,05/12/19 04:01:30 PM,24.255,0.0,,,,
125,05/12/19 04:02:00 PM,24.158,0.0,,,,
126,05/12/19 04:02:30 PM,24.255,0.0,,,,
127,05/12/19 04:03:00 PM,24.158,0.0,,,,
128,05/12/19 04:03:30 PM,24.158,0.0,,,,
129,05/12/19 04:04:00 PM,24.158,0.0,,,,
130,05/12/19 04:04:30 PM,24.158,0.0,,,,
131,05/12/19 04:05:00 PM,24.158,0.0,,,,
132,05/12/19 04:05:30 PM,24.158,0.0,,,,
133,05/12/19 04:06:00 PM,24.158,0.0,,,,
134,05/12/19 04:06:30 PM,24.158,0.0,,,,
135,05/12/19 04:07:00 PM,24.158,0.0,,,,
136,05/12/19 04:07:30 PM,24.158,0.0,,,,
137,05/12/19 04:08:00 PM,24.158,0.0,,,,
138,05/12/19 04:08:30 PM,24.158,0.0,,,,
139,05/12/19 04:09:00 PM,24.158,0.0,,,,
140,05/12/19 04:09:30 PM,24.158,0.0,,,,
141,05/12/19 04:10:00 PM,24.158,0.0,,,,
142,05/12/19 04:10:30 PM,24.158,0.0,,,,
143,05/12/19 04:11:00 PM,24.158,0.0,,,,
144,05/12/19 04:11:30 PM,24.158,0.0,,,,
145,05/12/19 04:12:00 PM,24.158,0.0,,,,
146,05/12/19 04:12:30 PM,24.158,0.0,,,,
147,05/12/19 04:13:00 PM,24.158,0.0,,,,
148,05/12/19 04:13:30 PM,24.158,0.0,,,,
149,05/12/19 04:14:00 PM,24.158,0.0,,,,
150,05/12/19 04:14:30 PM,24.158,0.0,,,,
151,05/12/19 04:15:00 PM,24.158,0.0,,,,
152,05/12/19 04:15:30 PM,24.158,0.0,,,,
153,05/12/19 04:16:00 PM,24.158,0.0,,,,
154,05/12/19 04:16:30 PM,24.158,0.0,,,,
155,05/12/19 04:17:00 PM,24.158,0.0,,,,
156,05/12/19 04:17:30 PM,24.158,0.0,,,,
157,05/12/19 04:18:00 PM,24.158,0.0,,,,
158,05/12/19 04:18:30 PM,24.158,0.0,,,,
159,05/12/19 04:19:00 PM,24.158,0.0,,,,
160,05/12/19 04:19:30 PM,24.158,0.0,,,,
161,05/12/19 04:20:00 PM,24.158,0.0,,,,
162,05/12/19 04:20:30 PM,24.158,0.0,,,,
163,05/12/19 04:21:00 PM,24.158,0.0,,,,
164,05/12/19 04:21:30 PM,24.158,0.0,,,,
165,05/12/19 04:22:00 PM,24.158,0.0,,,,
166,05/12/19 04:22:30 PM,24.158,0.0,,,,
167,05/12/19 04:23:00 PM,24.158,0.0,,,,
168,05/12/19 04:23:30 PM,24.158,0.0,,,,
169,05/12/19 04:24:00 PM,24.158,0.0,,,,
170,05/12/19 04:24:30 PM,24.158,0.0,,,,
171,05/12/19 04:25:00 PM,24.158,0.0,,,,
172,05/12/19 04:25:30 PM,24.158,0.0,,,,
173,05/12/19 04:26:00 PM,24.158,0.0,,,,
174,05/12/19 04:26:30 PM,24.158,0.0,,,,
175,05/12/19 04:27:00 PM,24.158,0.0,,,,
176,05/12/19 04:27:30 PM,24.158,0.0,,,,
177,05/12/19 04:28:00 PM,24.158,0.0,,,,
178,05/12/19 04:28:30 PM,24.158,0.0,,,,
179,05/12/19 04:29:00 PM,24.158,0.0,,,,
180,05/12/19 04:29:30 PM,24.158,0.0,,,,
181,05/12/19 04:30:00 PM,24.158,0.0,,,,
182,05/12/19 04:30:30 PM,24.158,0.0,,,,
183,05/12/19 04:31:00 PM,24.158,0.0,,,,
184,05/12/19 04:31:30 PM,24.158,0.0,,,,
185,05/12/19 04:32:00 PM,24.158,0.0,,,,
186,05/12/19 04:32:30 PM,24.158,0.0,,,,
187,05/12/19 04:33:00 PM,24.158,0.0,,,,
188,05/12/19 04:33:30 PM,24.158,0.0,,,,
189,05/12/19 04:34:00 PM,24.158,0.0,,,,
190,05/12/19 04:34:30 PM,24.158,0.0,,,,
191,05/12/19 04:35:00 PM,24.158,0.0,,,,
192,05/12/19 04:35:30 PM,24.158,0.0,,,,
193,05/12/19 04:36:00 PM,24.158,0.0,,,,
194,05/12/19 04:36:30 PM,24.158,0.0,,,,
195,05/12/19 04:37:00 PM,24.158,0.0,,,,
196,05/12/19 04:37:30 PM,24.158,0.0,,,,
197,05/12/19 04:38:00 PM,24.158,0.0,,,,
198,05/12/19 04:38:30 PM,24.158,0.0,,,,
199,05/12/19 04:39:00 PM,24.158,0.0,,,,
200,05/12/19 04:39:30 PM,24.158,0.0,,,,
201,05/12/19 04:40:00 PM,24.158,0.0,,,,
202,05/12/19 04:40:30 PM,24.158,0.0,,,,
203,05/12/19 04:41:00 PM,24.158,0.0,,,,
204,05/12/19 04:41:30 PM,24.158,0.0,,,,
205,05/12/19 04:42:00 PM,24.158,0.0,,,,
206,05/12/19 04:42:30 PM,24.158,0.0,,,,
207,05/12/19 04:43:00 PM,24.158,0.0,,,,
208,05/12/19 04:43:30 PM,24.158,0.0,,,,
209,05/12/19 04:44:00 PM,24.158,0.0,,,,
210,05/12/19 04:44:30 PM,24.158,0.0,,,,
211,05/12/19 04:45:00 PM,24.158,0.0,,,,
212,05/12/19 04:45:30 PM,24.158,0.0,,,,
213,05/12/19 04:46:00 PM,24.158,0.0,,,,
214,05/12/19 04:46:30 PM,24.158,0.0,,,,
215,05/12/19 04:47:00 PM,24.158,0.0,,,,
216,05/12/19 04:47:30 PM,24.158,0.0,,,,
217,05/12/19 04:48:00 PM,24.158,0.0,,,,
218,05/12/19 04:48:30 PM,24.158,0.0,,,,
219,05/12/19 04:49:00 PM,24.158,0.0,,,,
220,05/12/19 04:49:30 PM,24.158,0.0,,,,
221,05/12/19 04:50:00 PM,24.158,0.0,,,,
222,05/12/19 04:50:30 PM,24.158,0.0,,,,
223,05/12/19 04:51:00 PM,24.158,0.0,,,,
224,05/12/19 04:51:30 PM,24.158,0.0,,,,
225,05/12/19 04:52:00 PM,24.158,0.0,,,,
226,05/12/19 04:52:30 PM,24.158,0.0,,,,
227,05/12/19 04:53:00 PM,24.158,0.0,,,,
228,05/12/19 04:53:30 PM,24.158,0.0,,,,
229,05/12/19 04:54:00 PM,24.158,0.0,,,,
230,05/12/19 04:54:30 PM,24.158,0.0,,,,
231,05/12/19 04:55:00 PM,24.158,0.0,,,,
232,05/12/19 04:55:30 PM,24.158,0.0,,,,
